2017-04-14 17:40:14,360 - root - INFO - Epoch:0, Episode:1, Steps Left:95000/5000/100000, Reward:-148.000000, fps:1241.711569, Exploration:1.000000, Collision:[ -87. -116.  -99.], Reward Behavior:[ 20.  31.  22.   0.]
2017-04-14 17:40:18,139 - root - INFO - Epoch:0, Episode:2, Steps Left:90000/5000/100000, Reward:-167.000000, fps:1323.179054, Exploration:1.000000, Collision:[-112. -111. -102.], Reward Behavior:[ 24.  19.  35.   0.]
2017-04-14 17:40:21,895 - root - INFO - Epoch:0, Episode:3, Steps Left:85000/5000/100000, Reward:-174.000000, fps:1331.438430, Exploration:1.000000, Collision:[-112. -117. -113.], Reward Behavior:[ 31.  32.  17.   0.]
2017-04-14 17:40:25,652 - root - INFO - Epoch:0, Episode:4, Steps Left:80000/5000/100000, Reward:-155.000000, fps:1330.978406, Exploration:1.000000, Collision:[-121.  -88. -111.], Reward Behavior:[ 25.  34.  21.   0.]
2017-04-14 17:40:26,524 - root - INFO - Epoch:0, Episode:5, Steps Left:78920/1080/100000, Reward:-33.000000, fps:1239.199948, Exploration:1.000000, Collision:[-15. -23. -23.], Reward Behavior:[ 4.  3.  7.  0.]
2017-04-14 17:40:30,371 - root - INFO - Epoch:0, Episode:6, Steps Left:73920/5000/100000, Reward:-240.000000, fps:1300.079016, Exploration:1.000000, Collision:[-122. -113. -101.], Reward Behavior:[ 15.  11.  18.   0.]
2017-04-14 17:40:34,154 - root - INFO - Epoch:0, Episode:7, Steps Left:68920/5000/100000, Reward:-153.000000, fps:1321.763499, Exploration:1.000000, Collision:[ -98. -117. -135.], Reward Behavior:[ 30.  38.  22.   0.]
2017-04-14 17:40:37,926 - root - INFO - Epoch:0, Episode:8, Steps Left:63920/5000/100000, Reward:-185.000000, fps:1325.878772, Exploration:1.000000, Collision:[ -94. -122. -133.], Reward Behavior:[ 29.  20.  29.   0.]
2017-04-14 17:40:41,696 - root - INFO - Epoch:0, Episode:9, Steps Left:58920/5000/100000, Reward:-172.000000, fps:1326.438713, Exploration:1.000000, Collision:[-118.  -93. -116.], Reward Behavior:[ 25.  30.  16.   0.]
2017-04-14 17:40:45,028 - root - INFO - Epoch:0, Episode:10, Steps Left:54510/4410/100000, Reward:-111.000000, fps:1323.565109, Exploration:1.000000, Collision:[-88. -93. -79.], Reward Behavior:[ 25.  16.  32.   0.]
2017-04-14 17:40:48,961 - root - INFO - Epoch:0, Episode:11, Steps Left:49510/5000/100000, Reward:-136.000000, fps:1271.638881, Exploration:0.999560, Collision:[-123.  -99.  -93.], Reward Behavior:[ 33.  26.  28.   0.], Avg Loss:5.358254/98
2017-04-14 17:40:54,491 - root - INFO - Epoch:0, Episode:12, Steps Left:44510/5000/100000, Reward:-193.000000, fps:904.125146, Exploration:0.995060, Collision:[ -98. -130. -120.], Reward Behavior:[ 26.  18.  26.   0.], Avg Loss:4.305854/1000, Avg Q Value:0.112275/12 
2017-04-14 17:41:00,144 - root - INFO - Epoch:0, Episode:13, Steps Left:39510/5000/100000, Reward:-77.000000, fps:884.685044, Exploration:0.990560, Collision:[-88. -87. -98.], Reward Behavior:[ 29.  26.  37.   0.], Avg Loss:4.174158/1000, Avg Q Value:0.135016/44 
2017-04-14 17:41:05,755 - root - INFO - Epoch:0, Episode:14, Steps Left:34510/5000/100000, Reward:-98.000000, fps:891.196341, Exploration:0.986060, Collision:[-105. -117. -113.], Reward Behavior:[ 32.  29.  55.   0.], Avg Loss:3.645571/1000, Avg Q Value:0.303956/69 
2017-04-14 17:41:07,661 - root - INFO - Epoch:0, Episode:15, Steps Left:32893/1617/100000, Reward:-59.000000, fps:848.300172, Exploration:0.984604, Collision:[-32. -50. -33.], Reward Behavior:[ 10.   7.   8.   0.], Avg Loss:3.365721/323, Avg Q Value:0.217112/24 
2017-04-14 17:41:13,275 - root - INFO - Epoch:0, Episode:16, Steps Left:27893/5000/100000, Reward:-123.000000, fps:890.804615, Exploration:0.980104, Collision:[-121. -110. -112.], Reward Behavior:[ 46.  25.  34.   0.], Avg Loss:3.620531/1000, Avg Q Value:0.391725/85 
2017-04-14 17:41:18,909 - root - INFO - Epoch:0, Episode:17, Steps Left:22893/5000/100000, Reward:-203.000000, fps:887.499500, Exploration:0.975604, Collision:[-112.  -91. -142.], Reward Behavior:[ 22.  27.  18.   0.], Avg Loss:3.670470/1000, Avg Q Value:0.482487/115 
2017-04-14 17:41:24,490 - root - INFO - Epoch:0, Episode:18, Steps Left:17893/5000/100000, Reward:-160.000000, fps:895.905313, Exploration:0.971104, Collision:[ -98. -101. -108.], Reward Behavior:[ 18.  26.  26.   0.], Avg Loss:3.884979/1000, Avg Q Value:0.529448/165 
2017-04-14 17:41:30,169 - root - INFO - Epoch:0, Episode:19, Steps Left:12893/5000/100000, Reward:-138.000000, fps:880.595496, Exploration:0.966604, Collision:[-109. -100. -106.], Reward Behavior:[ 34.  21.  28.   0.], Avg Loss:3.741303/1000, Avg Q Value:0.689773/156 
2017-04-14 17:41:35,824 - root - INFO - Epoch:0, Episode:20, Steps Left:7893/5000/100000, Reward:-172.000000, fps:884.166891, Exploration:0.962104, Collision:[ -94. -114. -113.], Reward Behavior:[ 19.  28.  23.   0.], Avg Loss:4.173097/1000, Avg Q Value:0.722625/179 
2017-04-14 17:41:37,081 - root - INFO - Epoch:0, Episode:21, Steps Left:6776/1117/100000, Reward:-37.000000, fps:889.112449, Exploration:0.961098, Collision:[-21. -17. -24.], Reward Behavior:[ 3.  2.  6.  0.], Avg Loss:4.317996/223, Avg Q Value:0.750076/47 
2017-04-14 17:41:42,720 - root - INFO - Epoch:0, Episode:22, Steps Left:1776/5000/100000, Reward:-88.000000, fps:886.783765, Exploration:0.956598, Collision:[-125.  -83.  -84.], Reward Behavior:[ 28.  31.  37.   0.], Avg Loss:4.241618/1000, Avg Q Value:0.913921/194 
2017-04-14 17:41:48,415 - root - INFO - Epoch:0, Episode:23, Steps Left:-3224/5000/100000, Reward:-110.000000, fps:878.026801, Exploration:0.952098, Collision:[ -96.  -93. -111.], Reward Behavior:[ 26.  34.  26.   0.], Avg Loss:4.532668/1000, Avg Q Value:1.031100/216 
2017-04-14 17:41:48,417 - root - INFO - Epoch:0, FPS:1019.548892, Avg Reward: -136.173913/23
2017-04-14 17:41:54,090 - root - INFO - Epoch:1, Episode:1, Steps Left:95000/5000/100000, Reward:-150.000000, fps:881.439067, Exploration:0.947598, Collision:[-102. -111. -117.], Reward Behavior:[ 28.  29.  28.   0.], Avg Loss:4.807095/1000, Avg Q Value:1.075567/258 
2017-04-14 17:41:59,898 - root - INFO - Epoch:1, Episode:2, Steps Left:90000/5000/100000, Reward:-127.000000, fps:860.899058, Exploration:0.943098, Collision:[-107.  -87. -102.], Reward Behavior:[ 30.  21.  26.   0.], Avg Loss:5.347460/1000, Avg Q Value:1.189692/256 
2017-04-14 17:42:05,781 - root - INFO - Epoch:1, Episode:3, Steps Left:85000/5000/100000, Reward:-188.000000, fps:850.021962, Exploration:0.938598, Collision:[-108. -134. -101.], Reward Behavior:[ 24.  31.  22.   0.], Avg Loss:5.469236/1000, Avg Q Value:1.299960/278 
2017-04-14 17:42:11,450 - root - INFO - Epoch:1, Episode:4, Steps Left:80000/5000/100000, Reward:-117.000000, fps:882.042347, Exploration:0.934098, Collision:[-101. -113. -101.], Reward Behavior:[ 34.  31.  28.   0.], Avg Loss:6.446088/1000, Avg Q Value:1.456884/332 
2017-04-14 17:42:17,149 - root - INFO - Epoch:1, Episode:5, Steps Left:75000/5000/100000, Reward:-95.000000, fps:877.405541, Exploration:0.929598, Collision:[ -89.  -98. -109.], Reward Behavior:[ 36.  37.  25.   0.], Avg Loss:6.559442/1000, Avg Q Value:1.516624/361 
2017-04-14 17:42:22,988 - root - INFO - Epoch:1, Episode:6, Steps Left:70000/5000/100000, Reward:-144.000000, fps:856.342554, Exploration:0.925098, Collision:[ -93. -104. -100.], Reward Behavior:[ 18.  29.  27.   0.], Avg Loss:7.484265/1000, Avg Q Value:1.737926/375 
2017-04-14 17:42:28,696 - root - INFO - Epoch:1, Episode:7, Steps Left:65000/5000/100000, Reward:-103.000000, fps:876.118877, Exploration:0.920598, Collision:[ -85. -119.  -97.], Reward Behavior:[ 35.  34.  24.   0.], Avg Loss:7.576020/1000, Avg Q Value:1.890228/383 
2017-04-14 17:42:34,490 - root - INFO - Epoch:1, Episode:8, Steps Left:60000/5000/100000, Reward:-151.000000, fps:863.154455, Exploration:0.916098, Collision:[ -97.  -99. -110.], Reward Behavior:[ 24.  22.  26.   0.], Avg Loss:8.613368/1000, Avg Q Value:1.923844/393 
2017-04-14 17:42:40,219 - root - INFO - Epoch:1, Episode:9, Steps Left:55000/5000/100000, Reward:-128.000000, fps:872.781306, Exploration:0.911598, Collision:[ -99. -107. -113.], Reward Behavior:[ 30.  26.  31.   0.], Avg Loss:8.487910/1000, Avg Q Value:2.092491/416 
2017-04-14 17:42:45,993 - root - INFO - Epoch:1, Episode:10, Steps Left:50000/5000/100000, Reward:-183.000000, fps:866.008397, Exploration:0.907098, Collision:[-123. -115. -116.], Reward Behavior:[ 26.  23.  27.   0.], Avg Loss:9.840514/1000, Avg Q Value:2.337483/461 
