2017-04-14 18:49:54,252 - root - INFO - Epoch:0, Episode:1, Steps Left:95000/5000/100000, Reward:-171.000000, fps:1280.878728, Exploration:1.000000, Collision:[-117. -107. -100.], Reward Behavior:[ 28.  20.  29.   0.]
2017-04-14 18:49:58,685 - root - INFO - Epoch:0, Episode:2, Steps Left:90000/5000/100000, Reward:-163.000000, fps:1128.249966, Exploration:1.000000, Collision:[-100. -111. -106.], Reward Behavior:[ 20.  23.  31.   0.]
2017-04-14 18:50:03,168 - root - INFO - Epoch:0, Episode:3, Steps Left:85000/5000/100000, Reward:-194.000000, fps:1115.346200, Exploration:1.000000, Collision:[-101.  -98. -119.], Reward Behavior:[ 19.  24.  17.   0.]
2017-04-14 18:50:07,615 - root - INFO - Epoch:0, Episode:4, Steps Left:80000/5000/100000, Reward:-145.000000, fps:1124.463995, Exploration:1.000000, Collision:[-101. -104. -101.], Reward Behavior:[ 25.  25.  28.   0.]
2017-04-14 18:50:12,060 - root - INFO - Epoch:0, Episode:5, Steps Left:75000/5000/100000, Reward:-119.000000, fps:1124.970255, Exploration:1.000000, Collision:[ -94. -135.  -88.], Reward Behavior:[ 36.  28.  31.   0.]
2017-04-14 18:50:16,508 - root - INFO - Epoch:0, Episode:6, Steps Left:70000/5000/100000, Reward:-118.000000, fps:1124.232400, Exploration:1.000000, Collision:[-126.  -98. -100.], Reward Behavior:[ 37.  30.  28.   0.]
2017-04-14 18:50:20,941 - root - INFO - Epoch:0, Episode:7, Steps Left:65000/5000/100000, Reward:-209.000000, fps:1128.155527, Exploration:1.000000, Collision:[-105. -119. -137.], Reward Behavior:[ 30.  21.  20.   0.]
2017-04-14 18:50:25,352 - root - INFO - Epoch:0, Episode:8, Steps Left:60000/5000/100000, Reward:-123.000000, fps:1133.639305, Exploration:1.000000, Collision:[-105.  -95. -105.], Reward Behavior:[ 33.  34.  18.   0.]
2017-04-14 18:50:25,873 - root - INFO - Epoch:0, Episode:9, Steps Left:59414/586/100000, Reward:-29.000000, fps:1125.324164, Exploration:1.000000, Collision:[-11. -13. -15.], Reward Behavior:[ 1.  3.  1.  0.]
2017-04-14 18:50:30,334 - root - INFO - Epoch:0, Episode:10, Steps Left:54414/5000/100000, Reward:-134.000000, fps:1120.907607, Exploration:1.000000, Collision:[ -98.  -98. -107.], Reward Behavior:[ 20.  35.  23.   0.]
2017-04-14 18:50:34,796 - root - INFO - Epoch:0, Episode:11, Steps Left:49414/5000/100000, Reward:-164.000000, fps:1120.794027, Exploration:0.999474, Collision:[ -97. -112. -110.], Reward Behavior:[ 22.  29.  22.   0.], Avg Loss:3.878668/11
2017-04-14 18:50:43,389 - root - INFO - Epoch:0, Episode:12, Steps Left:44414/5000/100000, Reward:-162.000000, fps:581.886840, Exploration:0.994974, Collision:[-104. -100. -119.], Reward Behavior:[ 22.  27.  26.   0.], Avg Loss:3.345666/100, Avg Q Value:0.103885/12 
2017-04-14 18:50:51,936 - root - INFO - Epoch:0, Episode:13, Steps Left:39414/5000/100000, Reward:-212.000000, fps:585.028039, Exploration:0.990474, Collision:[ -94. -115. -129.], Reward Behavior:[ 15.  22.  21.   0.], Avg Loss:3.101036/100, Avg Q Value:0.106284/52 
2017-04-14 18:51:00,614 - root - INFO - Epoch:0, Episode:14, Steps Left:34414/5000/100000, Reward:-229.000000, fps:576.254232, Exploration:0.985974, Collision:[-113. -116. -122.], Reward Behavior:[ 19.  17.  22.   0.], Avg Loss:2.903863/100, Avg Q Value:0.203567/55 
2017-04-14 18:51:04,135 - root - INFO - Epoch:0, Episode:15, Steps Left:32360/2054/100000, Reward:-42.000000, fps:583.360966, Exploration:0.984124, Collision:[-28. -34. -43.], Reward Behavior:[  9.  13.   6.   0.], Avg Loss:2.683697/41, Avg Q Value:0.188757/26 
2017-04-14 18:51:12,841 - root - INFO - Epoch:0, Episode:16, Steps Left:27360/5000/100000, Reward:-167.000000, fps:574.398323, Exploration:0.979624, Collision:[-111. -110.  -95.], Reward Behavior:[ 25.  25.  23.   0.], Avg Loss:3.074187/100, Avg Q Value:0.202059/76 
2017-04-14 18:51:21,567 - root - INFO - Epoch:0, Episode:17, Steps Left:22360/5000/100000, Reward:-139.000000, fps:573.001211, Exploration:0.975124, Collision:[-102. -103.  -92.], Reward Behavior:[ 28.  27.  23.   0.], Avg Loss:2.960716/100, Avg Q Value:0.218081/120 
2017-04-14 18:51:30,592 - root - INFO - Epoch:0, Episode:18, Steps Left:17360/5000/100000, Reward:-184.000000, fps:554.047805, Exploration:0.970624, Collision:[-109. -103. -103.], Reward Behavior:[ 23.  20.  18.   0.], Avg Loss:3.180066/100, Avg Q Value:0.212513/154 
2017-04-14 18:51:39,487 - root - INFO - Epoch:0, Episode:19, Steps Left:12360/5000/100000, Reward:-85.000000, fps:562.137505, Exploration:0.966124, Collision:[ -91. -104.  -85.], Reward Behavior:[ 26.  37.  27.   0.], Avg Loss:2.986692/100, Avg Q Value:0.245434/168 
2017-04-14 18:51:48,200 - root - INFO - Epoch:0, Episode:20, Steps Left:7360/5000/100000, Reward:-120.000000, fps:573.899754, Exploration:0.961624, Collision:[-115.  -98. -122.], Reward Behavior:[ 38.  29.  30.   0.], Avg Loss:2.962781/100, Avg Q Value:0.276655/188 
2017-04-14 18:51:57,262 - root - INFO - Epoch:0, Episode:21, Steps Left:2360/5000/100000, Reward:-163.000000, fps:551.790072, Exploration:0.957124, Collision:[ -93. -116. -106.], Reward Behavior:[ 26.  26.  21.   0.], Avg Loss:2.696847/100, Avg Q Value:0.298344/216 
