2017-04-16 12:39:16,748 - root - INFO - Nework Params: 
2017-04-16 12:39:16,748 - root - INFO -    fc2_weight: <NDArray 64x128 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    qvalue_weight: <NDArray 4x64 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc1_weight: <NDArray 128x74 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc2_bias: <NDArray 64 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc1_bias: <NDArray 128 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    qvalue_bias: <NDArray 4 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO - Optimizer Params: <class 'mxnet.optimizer.Adam'>
2017-04-16 12:39:16,748 - root - INFO -    epsilon: 1e-08
2017-04-16 12:39:16,748 - root - INFO -    beta2: 0.999
2017-04-16 12:39:16,748 - root - INFO -    beta1: 0.9
2017-04-16 12:39:16,748 - root - INFO -    rescale_grad: 0.03125
2017-04-16 12:39:16,748 - root - INFO -    wd: 0.0
2017-04-16 12:39:16,748 - root - INFO -    lr: 0.0002
2017-04-16 12:39:21,203 - root - INFO - Epoch:0, Episode:1, Steps Left:95000/5000/100000, Score:-209.000000, fps:1122.637580, Exploration:1.000000, Collision:[-113. -120. -117.], Reward Behavior:[ 23.  20.  24.]
2017-04-16 12:39:25,778 - root - INFO - Epoch:0, Episode:2, Steps Left:90000/5000/100000, Score:-124.000000, fps:1093.111665, Exploration:1.000000, Collision:[ -92. -122. -105.], Reward Behavior:[ 32.  26.  32.]
2017-04-16 12:39:30,226 - root - INFO - Epoch:0, Episode:3, Steps Left:85000/5000/100000, Score:-159.000000, fps:1124.038312, Exploration:1.000000, Collision:[-104. -113. -123.], Reward Behavior:[ 18.  36.  30.]
2017-04-16 12:39:34,784 - root - INFO - Epoch:0, Episode:4, Steps Left:80000/5000/100000, Score:-150.000000, fps:1097.103292, Exploration:1.000000, Collision:[-106. -110. -103.], Reward Behavior:[ 30.  24.  24.]
2017-04-16 12:39:39,270 - root - INFO - Epoch:0, Episode:5, Steps Left:75000/5000/100000, Score:-170.000000, fps:1114.879382, Exploration:1.000000, Collision:[ -94. -103. -101.], Reward Behavior:[ 20.  19.  21.]
2017-04-16 12:39:43,760 - root - INFO - Epoch:0, Episode:6, Steps Left:70000/5000/100000, Score:-130.000000, fps:1113.610047, Exploration:1.000000, Collision:[ -82. -124. -107.], Reward Behavior:[ 28.  34.  26.]
2017-04-16 12:39:48,422 - root - INFO - Epoch:0, Episode:7, Steps Left:65000/5000/100000, Score:-148.000000, fps:1072.713667, Exploration:1.000000, Collision:[-117. -102. -107.], Reward Behavior:[ 30.  16.  36.]
2017-04-16 12:39:52,984 - root - INFO - Epoch:0, Episode:8, Steps Left:60000/5000/100000, Score:-139.000000, fps:1096.059776, Exploration:1.000000, Collision:[-103. -111.  -96.], Reward Behavior:[ 28.  28.  23.]
2017-04-16 12:39:57,372 - root - INFO - Epoch:0, Episode:9, Steps Left:55000/5000/100000, Score:-145.000000, fps:1139.662747, Exploration:1.000000, Collision:[-110. -104. -107.], Reward Behavior:[ 28.  23.  30.]
2017-04-16 12:40:01,774 - root - INFO - Epoch:0, Episode:10, Steps Left:50000/5000/100000, Score:-161.000000, fps:1135.766832, Exploration:1.000000, Collision:[-112.  -96. -105.], Reward Behavior:[ 16.  28.  24.]
2017-04-16 12:40:11,760 - root - INFO - Epoch:0, Episode:11, Steps Left:45000/5000/100000, Score:-158.000000, fps:500.745357, Exploration:0.995501, Collision:[-127. -109. -106.], Reward Behavior:[ 31.  25.  30.], Avg Loss:1.739524/100, Avg Q Value:0.152643/11 
2017-04-16 12:40:21,329 - root - INFO - Epoch:0, Episode:12, Steps Left:40000/5000/100000, Score:-117.000000, fps:522.527565, Exploration:0.991001, Collision:[-108. -102.  -89.], Reward Behavior:[ 22.  36.  24.], Avg Loss:1.681037/100, Avg Q Value:0.163952/26 
2017-04-16 12:40:30,813 - root - INFO - Epoch:0, Episode:13, Steps Left:35000/5000/100000, Score:-173.000000, fps:527.272096, Exploration:0.986501, Collision:[-102. -119. -103.], Reward Behavior:[ 23.  19.  27.], Avg Loss:1.560562/100, Avg Q Value:0.220584/48 
2017-04-16 12:40:40,187 - root - INFO - Epoch:0, Episode:14, Steps Left:30000/5000/100000, Score:-153.000000, fps:533.373104, Exploration:0.982001, Collision:[-112. -100.  -96.], Reward Behavior:[ 27.  25.  22.], Avg Loss:1.476447/100, Avg Q Value:0.212450/68 
2017-04-16 12:40:49,484 - root - INFO - Epoch:0, Episode:15, Steps Left:25000/5000/100000, Score:-137.000000, fps:537.866149, Exploration:0.977501, Collision:[-108. -108. -101.], Reward Behavior:[ 21.  36.  28.], Avg Loss:1.780207/100, Avg Q Value:0.208139/95 
2017-04-16 12:40:58,755 - root - INFO - Epoch:0, Episode:16, Steps Left:20000/5000/100000, Score:-176.000000, fps:539.349191, Exploration:0.973001, Collision:[-106. -118. -102.], Reward Behavior:[ 21.  27.  23.], Avg Loss:1.472523/100, Avg Q Value:0.236403/120 
2017-04-16 12:41:08,034 - root - INFO - Epoch:0, Episode:17, Steps Left:15000/5000/100000, Score:-182.000000, fps:538.845130, Exploration:0.968501, Collision:[-114. -115. -113.], Reward Behavior:[ 24.  25.  28.], Avg Loss:1.549402/100, Avg Q Value:0.230579/156 
2017-04-16 12:41:17,580 - root - INFO - Epoch:0, Episode:18, Steps Left:10000/5000/100000, Score:-181.000000, fps:523.850611, Exploration:0.964001, Collision:[-114. -125. -107.], Reward Behavior:[ 21.  34.  25.], Avg Loss:1.458344/100, Avg Q Value:0.261809/168 
2017-04-16 12:41:27,169 - root - INFO - Epoch:0, Episode:19, Steps Left:5000/5000/100000, Score:-91.000000, fps:521.449088, Exploration:0.959501, Collision:[ -98. -113. -120.], Reward Behavior:[ 38.  42.  32.], Avg Loss:1.472154/100, Avg Q Value:0.271615/192 
2017-04-16 12:41:36,700 - root - INFO - Epoch:0, Episode:20, Steps Left:0/5000/100000, Score:-154.000000, fps:524.639928, Exploration:0.955001, Collision:[-118.  -97.  -92.], Reward Behavior:[ 28.  26.  21.], Avg Loss:1.512332/100, Avg Q Value:0.276424/217 
2017-04-16 12:41:36,701 - root - INFO - Epoch:0, FPS:714.534566, Avg Reward: -152.850000/20
2017-04-16 12:41:46,096 - root - INFO - Epoch:1, Episode:1, Steps Left:95000/5000/100000, Score:-99.000000, fps:532.230840, Exploration:0.950501, Collision:[-98. -86. -89.], Reward Behavior:[ 25.  25.  34.], Avg Loss:1.573251/100, Avg Q Value:0.313646/260 
2017-04-16 12:41:55,868 - root - INFO - Epoch:1, Episode:2, Steps Left:90000/5000/100000, Score:-167.000000, fps:511.658715, Exploration:0.946001, Collision:[-128. -115.  -90.], Reward Behavior:[ 22.  32.  24.], Avg Loss:1.379597/100, Avg Q Value:0.284900/270 
2017-04-16 12:42:05,348 - root - INFO - Epoch:1, Episode:3, Steps Left:85000/5000/100000, Score:-161.000000, fps:527.460822, Exploration:0.941501, Collision:[-109. -110. -125.], Reward Behavior:[ 31.  24.  34.], Avg Loss:1.510487/100, Avg Q Value:0.340128/285 
2017-04-16 12:42:15,009 - root - INFO - Epoch:1, Episode:4, Steps Left:80000/5000/100000, Score:-128.000000, fps:517.573646, Exploration:0.937001, Collision:[-103.  -97.  -85.], Reward Behavior:[ 26.  30.  23.], Avg Loss:1.637446/100, Avg Q Value:0.373295/291 
2017-04-16 12:42:24,762 - root - INFO - Epoch:1, Episode:5, Steps Left:75000/5000/100000, Score:-153.000000, fps:512.693049, Exploration:0.932501, Collision:[-119. -110.  -87.], Reward Behavior:[ 26.  27.  22.], Avg Loss:1.540534/100, Avg Q Value:0.361621/322 
2017-04-16 12:42:34,552 - root - INFO - Epoch:1, Episode:6, Steps Left:70000/5000/100000, Score:-208.000000, fps:510.753256, Exploration:0.928001, Collision:[ -95. -121. -118.], Reward Behavior:[ 19.  13.  27.], Avg Loss:1.688162/100, Avg Q Value:0.329553/342 
2017-04-16 12:42:44,003 - root - INFO - Epoch:1, Episode:7, Steps Left:65000/5000/100000, Score:-97.000000, fps:529.051540, Exploration:0.923501, Collision:[ -95. -101.  -98.], Reward Behavior:[ 30.  38.  24.], Avg Loss:1.578975/100, Avg Q Value:0.413468/355 
2017-04-16 12:42:53,710 - root - INFO - Epoch:1, Episode:8, Steps Left:60000/5000/100000, Score:-91.000000, fps:515.160452, Exploration:0.919001, Collision:[-91. -94. -91.], Reward Behavior:[ 30.  32.  26.], Avg Loss:1.608288/100, Avg Q Value:0.440805/392 
2017-04-16 12:43:03,198 - root - INFO - Epoch:1, Episode:9, Steps Left:55000/5000/100000, Score:-167.000000, fps:527.010775, Exploration:0.914501, Collision:[-105.  -93.  -94.], Reward Behavior:[ 18.  21.  21.], Avg Loss:1.675841/100, Avg Q Value:0.427124/425 
2017-04-16 12:43:12,800 - root - INFO - Epoch:1, Episode:10, Steps Left:50000/5000/100000, Score:-117.000000, fps:520.754253, Exploration:0.910001, Collision:[-96. -94. -95.], Reward Behavior:[ 34.  27.  19.], Avg Loss:1.661442/100, Avg Q Value:0.456793/435 
2017-04-16 12:43:22,649 - root - INFO - Epoch:1, Episode:11, Steps Left:45000/5000/100000, Score:-129.000000, fps:507.648021, Exploration:0.905501, Collision:[ -94.  -94. -105.], Reward Behavior:[ 29.  25.  22.], Avg Loss:1.750615/100, Avg Q Value:0.476327/437 
2017-04-16 12:43:33,038 - root - INFO - Epoch:1, Episode:12, Steps Left:40000/5000/100000, Score:-142.000000, fps:481.326593, Exploration:0.901001, Collision:[ -99. -106. -110.], Reward Behavior:[ 28.  26.  30.], Avg Loss:1.687047/100, Avg Q Value:0.509419/484 
2017-04-16 12:43:43,262 - root - INFO - Epoch:1, Episode:13, Steps Left:35000/5000/100000, Score:-174.000000, fps:489.065092, Exploration:0.896501, Collision:[-100. -112. -101.], Reward Behavior:[ 17.  23.  25.], Avg Loss:1.665639/100, Avg Q Value:0.493498/500 
2017-04-16 12:43:53,145 - root - INFO - Epoch:1, Episode:14, Steps Left:30000/5000/100000, Score:-118.000000, fps:505.918589, Exploration:0.892001, Collision:[-116. -102.  -85.], Reward Behavior:[ 28.  34.  26.], Avg Loss:1.499775/100, Avg Q Value:0.565474/509 
2017-04-16 12:44:03,386 - root - INFO - Epoch:1, Episode:15, Steps Left:25000/5000/100000, Score:-97.000000, fps:488.285683, Exploration:0.887501, Collision:[-104.  -98.  -90.], Reward Behavior:[ 31.  30.  34.], Avg Loss:1.797009/100, Avg Q Value:0.595044/542 
2017-04-16 12:44:13,398 - root - INFO - Epoch:1, Episode:16, Steps Left:20000/5000/100000, Score:-150.000000, fps:499.431494, Exploration:0.883001, Collision:[-121.  -93.  -91.], Reward Behavior:[ 29.  28.  14.], Avg Loss:1.670719/100, Avg Q Value:0.575305/558 
2017-04-16 12:44:23,271 - root - INFO - Epoch:1, Episode:17, Steps Left:15000/5000/100000, Score:-161.000000, fps:506.419886, Exploration:0.878501, Collision:[-119. -108.  -98.], Reward Behavior:[ 23.  32.  27.], Avg Loss:1.532074/100, Avg Q Value:0.575521/566 
2017-04-16 12:44:33,350 - root - INFO - Epoch:1, Episode:18, Steps Left:10000/5000/100000, Score:-126.000000, fps:496.133679, Exploration:0.874001, Collision:[-116.  -96.  -65.], Reward Behavior:[ 19.  31.  22.], Avg Loss:1.847971/100, Avg Q Value:0.611015/615 
2017-04-16 12:44:43,254 - root - INFO - Epoch:1, Episode:19, Steps Left:5000/5000/100000, Score:-146.000000, fps:504.847703, Exploration:0.869501, Collision:[ -83. -115.  -83.], Reward Behavior:[ 22.  21.  20.], Avg Loss:1.678737/100, Avg Q Value:0.662374/629 
2017-04-16 12:44:53,223 - root - INFO - Epoch:1, Episode:20, Steps Left:0/5000/100000, Score:-176.000000, fps:501.585764, Exploration:0.865001, Collision:[-132.  -96.  -91.], Reward Behavior:[ 20.  19.  28.], Avg Loss:1.759269/100, Avg Q Value:0.701189/671 
2017-04-16 12:44:53,225 - root - INFO - Epoch:1, FPS:508.846990, Avg Reward: -140.350000/20
2017-04-16 12:45:03,647 - root - INFO - Epoch:2, Episode:1, Steps Left:95000/5000/100000, Score:-65.000000, fps:479.748838, Exploration:0.860501, Collision:[-99. -99. -62.], Reward Behavior:[ 28.  25.  45.], Avg Loss:1.633165/100, Avg Q Value:0.743894/655 
